sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
136,power2,ALRI,All Age,2.161809385,0.003142808,1.155565083,8.641899877,-14190.36522,-14181.25856
137,power2,ALRI,All Age,2.429702493,0.003130888,1.13889982,7.82550914,-14158.70122,-14149.59455
138,power2,ALRI,All Age,2.781845788,0.002010151,1.261065477,8.07620469,-13899.43354,-13890.32687
139,power2,ALRI,All Age,2.114587557,0.015177158,0.715721783,7.707510879,-13854.31971,-13845.21305
140,power2,ALRI,All Age,2.368750485,0.003428764,1.07370623,8.47380519,-14105.99835,-14096.89169
141,power2,ALRI,All Age,4.821578277,0.005643284,0.716212626,6.214471884,-13965.74336,-13956.6367
142,power2,ALRI,All Age,2.427891316,0.000326312,1.788671741,7.406148594,-13981.05542,-13971.94875
143,power2,ALRI,All Age,7.072495744,0.004283108,0.699849721,7.756644863,-13827.65959,-13818.55293
144,power2,ALRI,All Age,2.31272899,0.00051444,1.570179171,7.849715775,-13858.86165,-13849.75499
145,power2,ALRI,All Age,2.508122563,0.00144399,1.352343192,7.848937797,-13897.90831,-13888.80165
146,power2,ALRI,All Age,1.860216737,0.002492997,1.239866617,7.73103643,-14050.64918,-14041.54251
147,power2,ALRI,All Age,3.426622426,0.004482475,0.868631377,6.784199015,-13818.77578,-13809.66912
148,power2,ALRI,All Age,4.138422855,0.001325757,1.254339694,6.378449678,-13947.4127,-13938.30603
149,power2,ALRI,All Age,3.336895485,0.004097777,0.940598398,5.873973745,-13768.52966,-13759.423
150,power2,ALRI,All Age,1.516891476,0.005999138,1.102300064,8.249110773,-14103.11746,-14094.0108
151,power2,ALRI,All Age,1.541073548,0.001503732,1.336878751,8.4481733,-13978.53692,-13969.43025
152,power2,ALRI,All Age,2.241876924,0.003180143,1.15561193,6.679037553,-14189.40623,-14180.29957
153,power2,ALRI,All Age,2.452114983,0.002870581,1.139451786,7.445055781,-14068.86306,-14059.7564
154,power2,ALRI,All Age,3.196756758,0.006477656,0.74860376,6.199791139,-13790.61581,-13781.50915
155,power2,ALRI,All Age,2.069789124,0.002211064,1.317200524,7.241262368,-14058.73263,-14049.62596
156,power2,ALRI,All Age,1.318986665,0.007294451,0.990677869,7.649555801,-14089.77121,-14080.66455
157,power2,ALRI,All Age,3.345443335,0.005193831,0.83119064,6.179921025,-13854.18868,-13845.08201
158,power2,ALRI,All Age,2.279506681,0.003204677,1.192303165,6.454828211,-13890.80046,-13881.6938
159,power2,ALRI,All Age,2.558041603,0.000337106,1.673088284,7.916535462,-13924.05501,-13914.94835
160,power2,ALRI,All Age,2.552738136,0.004204835,1.064453301,6.954218063,-14129.83194,-14120.72527
161,power2,ALRI,All Age,1.394911404,0.003945413,1.108757477,7.269230828,-13871.92256,-13862.8159
162,power2,ALRI,All Age,2.920261367,0.001412093,1.355067323,7.146328397,-13859.26129,-13850.15462
163,power2,ALRI,All Age,1.250052884,0.003516211,1.356874333,8.701470758,-13971.7514,-13962.64474
164,power2,ALRI,All Age,1.938807087,0.004456189,1.170606659,8.479336563,-14067.60316,-14058.4965
165,power2,ALRI,All Age,2.683918888,0.003691636,1.080327718,8.40261521,-14202.42943,-14193.32276
166,power2,ALRI,All Age,1.991149326,0.003579109,1.100718926,7.187654167,-14000.38028,-13991.27362
167,power2,ALRI,All Age,2.151555777,0.006358795,1.087103348,6.135024852,-13823.63537,-13814.5287
168,power2,ALRI,All Age,5.376554146,0.006295932,0.692409861,7.532932876,-13860.49506,-13851.3884
169,power2,ALRI,All Age,2.939419371,0.000933448,1.388377235,8.277559709,-13878.31681,-13869.21015
170,power2,ALRI,All Age,2.051186621,0.002569835,1.267868834,7.281746596,-13999.55006,-13990.44339
171,power2,ALRI,All Age,1.825426983,0.000310883,1.784814176,7.18130408,-13897.14922,-13888.04255
172,power2,ALRI,All Age,1.43163614,0.007589682,0.976968247,8.724414376,-13869.36498,-13860.25831
173,power2,ALRI,All Age,2.246688747,0.003919678,1.148969983,5.914220277,-13889.94159,-13880.83492
174,power2,ALRI,All Age,1.690938909,0.006718642,0.91673761,6.32806506,-13954.30502,-13945.19836
175,power2,ALRI,All Age,3.987359146,0.00146585,1.202469794,6.917595575,-14114.95364,-14105.84698
176,power2,ALRI,All Age,1.752824263,0.003535128,1.230354207,6.540874171,-13989.71676,-13980.6101
177,power2,ALRI,All Age,2.096828354,0.005171863,1.096497047,8.487247677,-14163.09972,-14153.99305
178,power2,ALRI,All Age,2.134969115,0.002684457,1.341353007,8.245779787,-13793.13469,-13784.02803
179,power2,ALRI,All Age,2.547345847,0.00291842,1.131682223,8.231383352,-14029.25563,-14020.14897
180,power2,ALRI,All Age,1.713976424,0.003610555,1.147691449,6.540939133,-13894.85375,-13885.74708
181,power2,ALRI,All Age,2.002810442,0.004698018,1.075228222,6.731298213,-14035.24556,-14026.1389
182,power2,ALRI,All Age,1.827385421,0.005399361,1.113897121,6.268883172,-14091.60051,-14082.49384
