"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
804.429388992023,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
471.833091287175,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
365.530064735329,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
284.503220143728,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
265.985860815505,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
327.385572049767,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
561.93614886445,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
299.899872812675,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
823.664626950398,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
659.479000908788,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
157.747450861614,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
161.036282685352,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
972.534475355642,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
857.680193021428,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
640.399670203682,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
641.845474571921,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
309.925564081175,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
273.699437717907,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
645.971486897208,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
252.61664001178,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
993.274783269502,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
448.13286183821,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
899.658182554878,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
667.984144861344,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
936.818734121509,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
350.946645704797,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
876.625698341988,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
862.076564230025,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
161.548195393523,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
397.48477284098,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
756.491612854879,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
220.466359298676,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
783.893661127193,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
364.01145755779,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
880.308343934361,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
