sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
136,power2,COPD,All Age,11.31538314,0.000676186,0.804015671,7.741262112,-779.8796116,-777.0474108
137,power2,COPD,All Age,9.894537781,0.001835431,0.688456734,6.619064696,-740.1998177,-737.3676169
138,power2,COPD,All Age,42.92219781,0.000469748,0.644287368,7.440799105,-777.2251599,-774.3929591
139,power2,COPD,All Age,9.731941915,0.001428314,0.723122477,8.389865601,-778.4322478,-775.600047
140,power2,COPD,All Age,7.796086498,0.002203236,0.769242563,6.996000228,-766.6039636,-763.7717628
141,power2,COPD,All Age,17.02085225,0.000874934,0.679729667,7.635038898,-828.9576918,-826.125491
142,power2,COPD,All Age,21.24089207,0.001683221,0.586958866,8.121863922,-770.5008998,-767.668699
143,power2,COPD,All Age,10.0679264,0.001404835,0.744305539,6.779768055,-792.3709507,-789.5387499
144,power2,COPD,All Age,34.08555812,0.000588845,0.632598514,5.853410329,-754.2527192,-751.4205184
145,power2,COPD,All Age,10.66459989,0.003013925,0.61498811,7.899589282,-757.006874,-754.1746732
146,power2,COPD,All Age,45.16473732,0.00042576,0.64257217,6.590875468,-761.1224527,-758.2902518
147,power2,COPD,All Age,36.18884657,0.000701779,0.614954921,8.578642103,-764.3499409,-761.5177401
148,power2,COPD,All Age,28.39538312,0.000722199,0.635185657,8.338148401,-783.9328768,-781.100676
149,power2,COPD,All Age,14.67693854,0.000601735,0.759490372,7.217132083,-761.5461034,-758.7139026
150,power2,COPD,All Age,16.77981792,0.001861382,0.609660028,6.108317401,-752.8084146,-749.9762138
151,power2,COPD,All Age,18.49902817,0.001303005,0.630472371,6.043266481,-772.0231887,-769.1909879
152,power2,COPD,All Age,10.36103895,0.001477872,0.720642062,5.858720389,-743.3734429,-740.5412421
153,power2,COPD,All Age,22.60526909,0.000621329,0.678687618,8.283319979,-788.9780524,-786.1458516
154,power2,COPD,All Age,28.6241817,0.000621945,0.635348157,8.584295855,-807.246601,-804.4144002
155,power2,COPD,All Age,25.27234566,0.000536396,0.699499335,7.876562688,-787.1733131,-784.3411123
156,power2,COPD,All Age,11.86125076,0.000119667,0.972300445,7.72242221,-755.3084002,-752.4761994
157,power2,COPD,All Age,15.5213667,0.000898084,0.702149093,8.397936603,-776.5030364,-773.6708356
158,power2,COPD,All Age,50.80727454,0.000351766,0.649004961,6.582871407,-792.8293466,-789.9971458
159,power2,COPD,All Age,11.06971341,0.002637617,0.653697359,6.149446889,-751.891331,-749.0591302
160,power2,COPD,All Age,46.27497571,0.000308769,0.659977346,6.332948924,-782.1106505,-779.2784497
161,power2,COPD,All Age,20.44255706,0.001675182,0.598703866,7.099086009,-761.3204971,-758.4882963
162,power2,COPD,All Age,13.93003803,0.000458809,0.786500533,7.192800842,-783.4771097,-780.6449089
163,power2,COPD,All Age,10.0596888,0.002377469,0.680184665,7.045477438,-803.4225854,-800.5903845
164,power2,COPD,All Age,16.71856288,0.001160051,0.648687874,7.134947529,-763.3589687,-760.5267679
165,power2,COPD,All Age,9.324913075,0.002895914,0.662736196,6.578318064,-746.8023365,-743.9701357
166,power2,COPD,All Age,10.92725752,0.00262563,0.645296289,6.74031354,-754.1119292,-751.2797284
167,power2,COPD,All Age,48.2114641,0.000390094,0.647684102,6.074579941,-777.3124473,-774.4802465
168,power2,COPD,All Age,14.83562275,0.00012558,0.900370551,7.461571625,-772.4982989,-769.6660981
169,power2,COPD,All Age,10.14916266,0.00126796,0.730128152,7.5022757,-765.1410221,-762.3088213
170,power2,COPD,All Age,10.73258509,0.001016364,0.748658612,6.878195087,-783.9979072,-781.1657064
171,power2,COPD,All Age,12.0520223,0.000406072,0.818307454,7.136148528,-776.2785738,-773.446373
172,power2,COPD,All Age,15.32557016,0.000489264,0.750235417,6.261528227,-740.3661931,-737.5339923
173,power2,COPD,All Age,14.21663216,0.001140092,0.706693462,5.867068643,-744.4714075,-741.6392067
174,power2,COPD,All Age,86.42744953,0.000307767,0.601848697,8.202122189,-793.015806,-790.1836052
175,power2,COPD,All Age,23.06528698,0.000810069,0.658847415,8.511118851,-778.251286,-775.4190852
176,power2,COPD,All Age,17.14433577,0.000792015,0.69196444,5.811157058,-750.9858881,-748.1536873
177,power2,COPD,All Age,13.2169926,0.002600273,0.605606745,6.361746701,-769.4458437,-766.6136429
178,power2,COPD,All Age,14.90908332,0.001366459,0.648673838,6.355101652,-798.4047779,-795.5725771
179,power2,COPD,All Age,17.62627007,0.002068184,0.586545148,6.661963086,-775.9911573,-773.1589565
180,power2,COPD,All Age,13.61946384,0.002586514,0.615154494,7.374681058,-812.8296683,-809.9974675
181,power2,COPD,All Age,10.63078265,0.002466392,0.676699097,6.899448302,-775.074101,-772.2419002
182,power2,COPD,All Age,17.92940766,0.000849054,0.699868891,8.688434305,-764.9762266,-762.1440258
183,power2,COPD,All Age,78.66694657,0.000490015,0.574519956,7.644703661,-774.4306835,-771.5984827
184,power2,COPD,All Age,18.7793575,0.001169918,0.647019932,7.193143302,-781.1331025,-778.3009017
185,power2,COPD,All Age,12.81730176,0.001334684,0.691316114,7.664780606,-774.7393487,-771.9071479
186,power2,COPD,All Age,41.87522826,0.000490919,0.631289661,7.371309502,-756.8205122,-753.9883114
187,power2,COPD,All Age,9.375865833,0.00095723,0.792963779,8.641899877,-774.2073804,-771.3751796
188,power2,COPD,All Age,13.35346399,0.00136238,0.700885134,7.82550914,-761.5340376,-758.7018368
189,power2,COPD,All Age,10.58710377,0.001548235,0.701575644,8.07620469,-770.1581806,-767.3259798
190,power2,COPD,All Age,20.41546695,0.001332538,0.635409143,6.028490186,-790.5876092,-787.7554084
191,power2,COPD,All Age,10.77730232,0.00335857,0.617754635,7.707510879,-753.4688892,-750.6366884
192,power2,COPD,All Age,50.88887872,0.000593887,0.585323455,6.214471884,-764.3139401,-761.4817393
193,power2,COPD,All Age,8.881463254,0.003227628,0.669330743,7.283423012,-748.0034795,-745.1712787
194,power2,COPD,All Age,9.109751228,0.004109103,0.667294223,7.622209044,-769.9386909,-767.10649
195,power2,COPD,All Age,105.3544341,0.000273089,0.595654728,7.756644863,-753.0127671,-750.1805663
196,power2,COPD,All Age,14.04122224,0.00151378,0.65961171,7.070653626,-785.6753253,-782.8431245
