sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
578,power2,STROKE,AllAge,1.121646393,0.045273058,0.470008033,7.019501125,-4216.243441,-4210.022049
579,power2,STROKE,AllAge,1.259428542,0.006936066,1.442028577,7.72966942,-4197.259741,-4191.038349
580,power2,STROKE,AllAge,1.191388031,0.009201347,1.23303464,8.164457603,-4232.956081,-4226.734689
581,power2,STROKE,AllAge,1.34002733,0.022849987,0.469426656,6.702820749,-4269.973177,-4263.751785
582,power2,STROKE,AllAge,1.110507788,0.00325581,1.737740734,6.007133716,-4178.673051,-4172.451659
583,power2,STROKE,AllAge,1.378599396,0.005608009,1.332719576,8.098127324,-4243.444304,-4237.222912
584,power2,STROKE,AllAge,1.317676275,0.010460103,1.148244006,5.846514889,-4197.319729,-4191.098337
585,power2,STROKE,AllAge,1.264636546,0.013565036,1.280316175,7.605546999,-4213.043072,-4206.82168
586,power2,STROKE,AllAge,1.330237586,0.014743319,0.566751556,7.686460165,-4141.224533,-4135.00314
587,power2,STROKE,AllAge,0.996384848,0.009313289,1.206557826,6.961733137,-4170.162376,-4163.940984
588,power2,STROKE,AllAge,1.193945667,0.001749098,1.895946977,6.300561043,-4234.712758,-4228.491365
589,power2,STROKE,AllAge,2.359381961,0.022945271,0.378939519,5.874587776,-4210.991169,-4204.769777
590,power2,STROKE,AllAge,1.737771338,0.009673142,0.555394718,7.819233376,-4209.583699,-4203.362307
591,power2,STROKE,AllAge,0.987136813,0.044184447,0.620959201,6.030018944,-4208.585895,-4202.364503
592,power2,STROKE,AllAge,1.273653186,0.008314872,1.128708251,7.355712224,-4209.943219,-4203.721827
593,power2,STROKE,AllAge,1.346940112,0.041983507,0.462262331,6.41415984,-4183.296695,-4177.075303
594,power2,STROKE,AllAge,1.321185711,0.009276313,1.355244984,7.647044929,-4227.949723,-4221.728331
595,power2,STROKE,AllAge,1.130080993,0.003114889,1.793073328,8.360989548,-4217.00726,-4210.785868
596,power2,STROKE,AllAge,0.882542718,0.001157417,2.570843947,8.205534535,-4202.961452,-4196.740059
597,power2,STROKE,AllAge,1.523652693,0.011802411,0.574449649,6.913485802,-4252.226138,-4246.004746
598,power2,STROKE,AllAge,1.188168695,0.0148263,0.99282987,7.480028787,-4230.771421,-4224.550029
599,power2,STROKE,AllAge,1.289306152,0.005223804,1.452588255,8.17293977,-4218.059369,-4211.837977
600,power2,STROKE,AllAge,1.260493074,0.000593869,2.163880993,6.641383929,-4254.972672,-4248.75128
601,power2,STROKE,AllAge,1.053752648,0.002412092,1.962442838,8.271342481,-4230.043111,-4223.821719
602,power2,STROKE,AllAge,1.190610438,0.00679331,1.189385983,6.537768364,-4207.531183,-4201.309791
603,power2,STROKE,AllAge,1.313273205,0.010978701,1.159911278,5.800557718,-4202.355128,-4196.133736
604,power2,STROKE,AllAge,1.699532259,0.017637016,0.510968466,8.506300411,-4212.452299,-4206.230907
605,power2,STROKE,AllAge,1.482766091,0.044747835,0.411654321,6.904009875,-4204.592343,-4198.370951
606,power2,STROKE,AllAge,1.15242505,0.005744415,1.410898217,6.717513925,-4183.647563,-4177.426171
607,power2,STROKE,AllAge,1.280730784,0.010431288,1.100525643,7.696712242,-4228.420442,-4222.19905
608,power2,STROKE,AllAge,1.335632952,0.002021111,1.813567262,6.653828369,-4173.724432,-4167.503039
609,power2,STROKE,AllAge,1.488539699,0.049892125,0.371716543,7.858967625,-4200.248683,-4194.02729
610,power2,STROKE,AllAge,1.288052253,0.00505359,1.621301394,7.766733958,-4203.674192,-4197.4528
611,power2,STROKE,AllAge,1.220934415,0.004147997,1.669392721,8.376911715,-4214.19547,-4207.974078
612,power2,STROKE,AllAge,1.431392542,0.005246671,1.315729541,7.01017984,-4190.788068,-4184.566676
613,power2,STROKE,AllAge,1.021286173,0.006804653,1.637870082,6.862227157,-4201.401065,-4195.179672
614,power2,STROKE,AllAge,1.322297796,0.006090445,1.18609857,7.280233176,-4248.129707,-4241.908315
615,power2,STROKE,AllAge,1.586097239,0.021218262,0.458841248,6.659601088,-4207.938785,-4201.717393
616,power2,STROKE,AllAge,1.19553362,0.003615169,1.591900382,5.993849443,-4197.388678,-4191.167286
617,power2,STROKE,AllAge,1.194637812,0.001518304,1.850926978,7.138633737,-4228.190129,-4221.968736
618,power2,STROKE,AllAge,1.111797181,0.013928767,1.085518113,7.538087528,-4189.646171,-4183.424778
619,power2,STROKE,AllAge,1.107752969,0.00312624,1.467028432,5.891664071,-4163.728067,-4157.506675
620,power2,STROKE,AllAge,1.110993829,0.006037238,1.268198846,7.446900088,-4226.54951,-4220.328117
621,power2,STROKE,AllAge,2.326251023,0.018396022,0.401776113,8.429153278,-4230.570594,-4224.349202
622,power2,STROKE,AllAge,1.247498608,0.032944587,0.869839236,6.684754973,-4218.7991,-4212.577708
623,power2,STROKE,AllAge,1.17659456,0.006287074,1.543188612,7.674798795,-4246.237918,-4240.016525
624,power2,STROKE,AllAge,1.286201856,0.00641723,1.319886878,5.965308456,-4204.12985,-4197.908458
625,power2,STROKE,AllAge,1.05705849,0.003391462,1.823437782,7.281088955,-4188.521083,-4182.29969
626,power2,STROKE,AllAge,1.318589734,0.00800452,1.366804816,8.391951213,-4260.146047,-4253.924655
627,power2,STROKE,AllAge,1.098534511,0.01766977,0.942187261,6.607059952,-4229.081304,-4222.859911
628,power2,STROKE,AllAge,1.261233049,0.016253796,1.081510433,7.009880892,-4169.582725,-4163.361333
