sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
135,power2,LC,All Age,66.00528401,0.00019863,0.794861414,7.823053803,-10273.0764,-10264.76625
136,power2,LC,All Age,187.747029,0.00011275,0.727375349,5.828184534,-10332.41369,-10324.10354
137,power2,LC,All Age,207.7204478,9.91E-05,0.727256632,8.250019363,-10232.97563,-10224.66548
138,power2,LC,All Age,70.65634381,7.78E-05,0.879710352,8.373347015,-10206.46311,-10198.15296
139,power2,LC,All Age,118.3531175,0.000230711,0.701733149,7.45389917,-10241.78016,-10233.47001
140,power2,LC,All Age,150.8890205,0.000149752,0.723408564,8.452541531,-10286.93296,-10278.62281
141,power2,LC,All Age,153.7633287,0.00016072,0.710275488,8.350615937,-10295.79932,-10287.48917
142,power2,LC,All Age,84.64614073,9.50E-05,0.829942211,5.993312371,-10216.12934,-10207.81919
143,power2,LC,All Age,366.0546263,3.98E-05,0.753602226,8.130293412,-10257.34367,-10249.03352
144,power2,LC,All Age,153.5489206,0.000126397,0.731900819,6.857724999,-10259.46752,-10251.15737
145,power2,LC,All Age,100.0517734,0.000306892,0.684816317,6.56937556,-10215.56227,-10207.25212
146,power2,LC,All Age,57.1009916,0.000189075,0.814290724,7.17682615,-10302.98201,-10294.67186
147,power2,LC,All Age,408.141526,5.77E-05,0.711378416,6.145814734,-10237.73489,-10229.42474
148,power2,LC,All Age,143.1636676,8.14E-05,0.78922281,6.188498123,-10237.42021,-10229.11006
149,power2,LC,All Age,77.72373888,0.000147313,0.798866419,7.161355144,-10319.81201,-10311.50186
150,power2,LC,All Age,140.098908,7.65E-05,0.791817165,5.926506028,-10310.79158,-10302.48143
151,power2,LC,All Age,121.4762456,0.000183594,0.716482968,7.161195104,-10363.33973,-10355.02958
152,power2,LC,All Age,188.8416952,4.40E-05,0.819484693,5.989714011,-10221.69743,-10213.38728
153,power2,LC,All Age,95.68418602,0.000205274,0.740004445,7.989304827,-10307.32767,-10299.01752
154,power2,LC,All Age,62.25778913,0.000126515,0.844079522,7.855990255,-10235.46862,-10227.15847
155,power2,LC,All Age,53.23751801,0.000287002,0.779571749,8.393655393,-10268.78668,-10260.47653
156,power2,LC,All Age,47.34260424,0.000743857,0.691095433,6.497794938,-10248.60352,-10240.29337
157,power2,LC,All Age,71.74530839,0.000156936,0.808418228,6.398728125,-10278.39611,-10270.08596
158,power2,LC,All Age,111.6261648,0.000126147,0.773842619,7.570410493,-10214.46083,-10206.15069
159,power2,LC,All Age,96.96508875,0.000159956,0.766301159,8.046199732,-10216.11655,-10207.8064
160,power2,LC,All Age,424.3743366,5.94E-05,0.701066413,7.738102026,-10225.53755,-10217.2274
161,power2,LC,All Age,37.64323156,9.34E-07,1.4393208,8.144274236,-10196.08198,-10187.77183
162,power2,LC,All Age,61.22542919,0.00039132,0.720414443,6.364459174,-10304.15874,-10295.84859
