sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
552,power2,IHD,AllAge,1.105518812,0.048053558,0.754028778,6.300929252,-4741.015045,-4734.909603
553,power2,IHD,AllAge,1.172822475,0.028049968,0.787119016,6.854463431,-4735.112202,-4729.00676
554,power2,IHD,AllAge,1.504392772,0.067751371,0.34573513,8.725612168,-4777.156932,-4771.05149
555,power2,IHD,AllAge,1.258418109,0.056331132,0.5909018,5.826984304,-4742.991156,-4736.885714
556,power2,IHD,AllAge,1.291099023,0.017672054,0.976945041,8.588811437,-4776.978,-4770.872558
557,power2,IHD,AllAge,1.171791183,0.020163372,0.770235574,8.696982431,-4798.754572,-4792.64913
558,power2,IHD,AllAge,1.597439038,0.037316708,0.386471178,8.152256015,-4768.608485,-4762.503043
559,power2,IHD,AllAge,1.760133222,0.0415888,0.356735291,7.383619957,-4775.710615,-4769.605173
560,power2,IHD,AllAge,1.244460177,0.017986592,0.985255646,6.864593771,-4781.201557,-4775.096115
561,power2,IHD,AllAge,1.272193528,0.036148176,0.730403971,6.321435228,-4684.39639,-4678.290948
562,power2,IHD,AllAge,1.332948549,0.050241274,0.410384593,8.168773509,-4735.931809,-4729.826366
563,power2,IHD,AllAge,2.523675009,0.043530398,0.279974715,6.163053236,-4771.368234,-4765.262792
564,power2,IHD,AllAge,2.195339519,0.025276397,0.375041231,8.18848127,-4749.013019,-4742.907577
565,power2,IHD,AllAge,1.227131385,0.014312662,1.167568625,8.110837726,-4692.849766,-4686.744324
566,power2,IHD,AllAge,1.173817388,0.033580007,0.763034562,7.36935633,-4740.605235,-4734.499792
567,power2,IHD,AllAge,1.290417742,0.061126114,0.566670434,6.820136444,-4777.576761,-4771.471319
568,power2,IHD,AllAge,2.183089086,0.040467267,0.31259512,8.213000965,-4741.2496,-4735.144158
569,power2,IHD,AllAge,1.160363922,0.032692021,0.873011249,7.396708256,-4727.428356,-4721.322913
570,power2,IHD,AllAge,1.251565657,0.052645004,0.461771405,7.299319184,-4737.843351,-4731.737908
571,power2,IHD,AllAge,1.236661254,0.085677985,0.363055597,6.054290158,-4767.372831,-4761.267389
572,power2,IHD,AllAge,1.452446752,0.051229408,0.384767153,7.76094436,-4771.940006,-4765.834564
573,power2,IHD,AllAge,1.635598815,0.049552193,0.330403054,8.230424218,-4794.844564,-4788.739122
574,power2,IHD,AllAge,2.167076609,0.033886822,0.336939699,7.714000758,-4784.190724,-4778.085282
575,power2,IHD,AllAge,3.580807984,0.029155867,0.275735668,8.693049369,-4775.810701,-4769.705259
576,power2,IHD,AllAge,1.863810032,0.045929938,0.322451777,5.879746222,-4761.815541,-4755.710098
577,power2,IHD,AllAge,1.867567026,0.057620552,0.320851867,8.468344764,-4738.297299,-4732.191857
578,power2,IHD,AllAge,1.190408254,0.071841601,0.407579018,5.999505323,-4743.671299,-4737.565857
579,power2,IHD,AllAge,1.149451601,0.06260484,0.512502862,7.81875606,-4790.371441,-4784.265999
580,power2,IHD,AllAge,1.341306233,0.025024958,0.56258525,8.067090081,-4744.464439,-4738.358997
581,power2,IHD,AllAge,1.360745253,0.051218527,0.398147855,7.475750215,-4737.77944,-4731.673998
582,power2,IHD,AllAge,1.472613684,0.049319555,0.374392385,7.572338036,-4737.648041,-4731.542599
583,power2,IHD,AllAge,1.405252464,0.068526144,0.386939775,6.49206646,-4768.119762,-4762.014319
584,power2,IHD,AllAge,2.155833092,0.049052457,0.298726546,6.155670068,-4738.223553,-4732.118111
585,power2,IHD,AllAge,2.055595299,0.057044278,0.298324086,7.721127505,-4733.316148,-4727.210706
